,Scar1,Scar2,cellCount1,cellCount2
0,1337:45M1I12M17S,20:45M14D30M,89,1198
1,20:45M14D30M,35:43M21D32M,1198,227
2,12:42M6D33M,20:45M14D30M,119,1198
3,20:45M14D30M,762:31S44M,1198,233
4,1097:52M23S,1434:45M6I24M,468,189
5,1097:52M23S,20:45M14D30M,468,1198
6,1434:45M6I24M,20:45M14D30M,189,1198
7,20:45M14D30M,683:45M4I26M,1198,222
8,1097:52M23S,13:46M6D29M,468,439
9,1097:52M23S,32:75M,468,227
10,20:45M14D30M,66:48M6I21M,1198,743
11,1584:36S39M,45:41M5D34M,312,340
12,45:41M5D34M,608:44M2I3M2D26M,340,271
13,1097:52M23S,608:44M2I3M2D26M,468,271
14,13:46M6D29M,357:49M4I22M,439,208
15,1097:52M23S,66:48M6I21M,468,743
16,13:46M6D29M,20:45M14D30M,439,1198
17,13:46M6D29M,66:48M6I21M,439,743
18,20:45M14D30M,307:42M1I4M3D28M,1198,99
19,20:45M14D30M,887:45M1I29M,1198,173
20,66:48M6I21M,887:45M1I29M,743,173
21,1097:52M23S,45:41M5D34M,468,340
22,1097:52M23S,357:49M4I22M,468,208
23,1097:52M23S,39:29M17D46M,468,225
24,1584:36S39M,20:45M14D30M,312,1198
25,20:45M14D30M,608:44M2I3M2D26M,1198,271
26,1584:36S39M,66:48M6I21M,312,743
27,1097:52M23S,1584:36S39M,468,312
28,13:46M6D29M,1584:36S39M,439,312
29,13:46M6D29M,608:44M2I3M2D26M,439,271
30,13:46M6D29M,45:41M5D34M,439,340
31,608:44M2I3M2D26M,66:48M6I21M,271,743
32,13:46M6D29M,6:47M3I25M,439,271
33,18:47M9D28M,66:48M6I21M,120,743
34,18:47M9D28M,20:45M14D30M,120,1198
35,1097:52M23S,6:47M3I25M,468,271
36,20:45M14D30M,32:75M,1198,227
37,20:45M14D30M,6:47M3I25M,1198,271
38,66:48M6I21M,6:47M3I25M,743,271
39,20:45M14D30M,45:41M5D34M,1198,340
40,45:41M5D34M,66:48M6I21M,340,743
41,1434:45M6I24M,66:48M6I21M,189,743
42,1097:52M23S,683:45M4I26M,468,222
43,20:45M14D30M,29:46M1I28M,1198,114
44,13:46M6D29M,19:75M,439,229
45,32:75M,66:48M6I21M,227,743
46,20:45M14D30M,357:49M4I22M,1198,208
47,13:46M6D29M,32:75M,439,227
48,357:49M4I22M,66:48M6I21M,208,743
49,39:29M17D46M,66:48M6I21M,225,743
50,1097:52M23S,1271:48M10I17M,468,196
51,1097:52M23S,1461:44M31S,468,228
52,20:45M14D30M,39:29M17D46M,1198,225
53,1271:48M10I17M,20:45M14D30M,196,1198
54,13:46M6D29M,1461:44M31S,439,228
55,187:51M4I20M,20:45M14D30M,115,1198
56,20:45M14D30M,948:48M27S,1198,89
57,19:75M,20:45M14D30M,229,1198
58,1461:44M31S,20:45M14D30M,228,1198
59,20:45M14D30M,722:47M3D17M11S,1198,139
60,66:48M6I21M,722:47M3D17M11S,743,139
61,1461:44M31S,66:48M6I21M,228,743
62,106:24S51M,20:45M14D30M,101,1198
63,19:75M,66:48M6I21M,229,743
64,13:46M6D29M,39:29M17D46M,439,225
